ə	a
laɪənəzeɪʃən	lionization
laɪənaɪz	lionize
lɪp	lip
lɪpt	lipped
lɪpɹidɪŋ	lipreading
lɪpstɪk	lipstick
lɪkwəfækʃən	liquefaction
lɪkwəfaɪ	liquefy
lɪkɝ	liqueur
lɪkwəd	liquid
lɪkwədeɪt	liquidate
lɪkwədeɪʃən	liquidation
lɪkɚ	liquor
lɪɹə	lira
laɪl	lisle
lɪsp	lisp
lɪsəm	lissome
lɪst	list
lɪsn̩	listen
lɪstləs	listless
lɪsts	lists
lɪt	lit
lɪtn̩i	litany
lɪtɚl̩	literal
lɪtəɹəlɪzm̩	literalism
lɪtəɹəlɪstɪk	literalistic
lɪtɚɛɹi	literary
lɪtɚət	literate
lɪtəɹɑti	literati
lɪtəɹeɪtm̩	literatim
lɪtɚəʧʊɹ	literature
laɪð	lithe
lɪθiəm	lithium
lɪθəgɹæf	lithograph
lɪθɑgɹəfɚ	lithographer
lɪθəgɹæfɪk	lithographic
lɪθɑgɹəfi	lithography
lɪtɪgənt	litigant
lɪtəgeɪt	litigate
lɪtəgeɪʃən	litigation
lətɪʤəs	litigious
lɪtməs	litmus
litɚ	litre
lɪtɚ	litter
lɪtl̩	little
lɪtəɹl̩	littoral
lətɝʤɪkl̩	liturgical
lɪtɚʤəst	liturgist
lɪtɚʤi	liturgy
lɪvəbɪləti	livability
lɪv	live
lɪvəbl̩	liveable
laɪvlihʊd	livelihood
lɪvlɔŋ	livelong
laɪvli	lively
laɪvən	liven
lɪvɚ	liver
lɪvəɹɪʃ	liverish
lɪvɚwɝt	liverwort
lɪvɚi	livery
laɪvz	lives
laɪvstɑk	livestock
lɪvəd	livid
lɪvɪŋ	living
lɪzɚd	lizard
lɑmə	llama
lɑnoʊ	llano
loʊ	lo
loʊd	load
loʊf	loaf
loʊm	loam
loʊn	loan
loʊθ	loath
loʊð	loathe
loʊðɪŋ	loathing
loʊðli	loathly
loʊθsəm	loathsome
loʊvz	loaves
lɑb	lob
loʊbɚ	lobar
lɑbi	lobby
loʊb	lobe
lɑbstɚ	lobster
loʊkl̩	local
loʊkæl	locale
loʊkæləti	locality
loʊkl̩əzeɪʃən	localization
loʊkəlaɪz	localize
loʊkeɪt	locate
loʊkeɪʃən	location
lɑk	loch
loʊsaɪ	loci
lɑk	lock
lɑkɚ	locker
lɑkət	locket
lɑkʤɔ	lockjaw
loʊkəmoʊʃən	locomotion
loʊkəmoʊtɚ	locomotor
loʊkəs	locus
loʊkəst	locust
loʊkjuʃən	locution
loʊd	lode
lɑʤ	lodge
lɑʤmənt	lodgement
lɑʤɚ	lodger
lɔft	loft
lɔfti	lofty
lɔg	log
lɔgɚɪðm̩	logarithm
lɔgɚɪðmɪk	logarithmic
loʊƷ	loge
lɔgɚhɛd	loggerhead
lɑʤiə	loggia
lɑʤɪk	logic
loʊʤɪʃən	logician
loʊʤɪstɪks	logistics
lɔgʤæm	logjam
lɔgɹoʊlɪŋ	logrolling
loʊgi	logy
lɔɪn	loin
lɔɪtɚ	loiter
lɑl	loll
lɑlipɑp	lollypop
loʊn	lone
lɔŋ	long
lɔŋgɚ	longer
lɑnʤɛvəti	longevity
lɔŋhænd	longhand
lɔŋɪŋ	longing
lɑnʤətud	longitude
lɑnʤətudn̩l̩	longitudinal
lɔŋʃoɹmən	longshoreman
lʊk	look
lʊkaʊt	lookout
lum	loom
lun	loon
luni	looney
lup	loop
lus	loose
lusn̩	loosen
lut	loot
lɑp	lop
lɑpsaɪdəd	lopsided
loʊkweɪʃəs	loquacious
lɔɹd	lord
loɹ	lore
lɔɹnjɛt	lorgnette
lɔɹn	lorn
lɔɹi	lorry
luz	lose
luzɪŋ	losing
lɔs	loss
lɔst	lost
lɑt	lot
loʊθ	loth
loʊʃən	lotion
loʊtəs	lotos
lɑtɚi	lottery
laʊd	loud
laʊnʤ	lounge
laʊɹ	lour
laʊs	louse
laʊzi	lousy
laʊt	lout
luvɚ	louvre
lʌvəbl̩	lovable
lʌv	love
lʌvɪŋ	loving
loʊ	low
loʊbɹaʊ	lowbrow
loʊɚ	lower
loʊɚkeɪs	lowercase
loʊlənd	lowland
lɑks	lox
lɔɪl̩	loyal
lɑzn̩ʤ	lozenge
luaʊ	luau
lʌbɚ	lubber
lubɹɪkənt	lubricant
lubɹəkeɪʃən	lubrication
lubɹəkeɪtɚ	lubricator
lubɹɪʃəs	lubricious
lusn̩t	lucent
lusɝn	lucerne
lusəd	lucid
lusɪdəti	lucidity
lusədli	lucidly
lʌk	luck
lʌki	lucky
lukɹətɪv	lucrative
lukɚ	lucre
lukjʊbɹeɪʃən	lucubration
ludəkɹəs	ludicrous
lʌf	luff
lʌg	lug
lʌgɪʤ	luggage
lʊgubɹiəs	lugubrious
lukwɔɹm	lukewarm
lʌl	lull
lʌləbaɪ	lullaby
lʌmbeɪgoʊ	lumbago
lʌmbɚ	lumber
lumənɛɹi	luminary
lumənɑsəti	luminosity
lumənəs	luminous
lumənəsli	luminously
lʌməks	lummox
lʌmp	lump
lunəsi	lunacy
lunətɪk	lunatic
lʌnʧ	lunch
lʌnʧən	luncheon
lʌnʧənɛt	luncheonette
lʌnʧɹum	lunchroom
lunɛt	lunette
lʌŋ	lung
lʌnʤ	lunge
lupən	lupine
lɝʧ	lurch
lʊɹ	lure
lʊɹəd	lurid
lɝk	lurk
lʌʃəs	luscious
lʌʃ	lush
lʌst	lust
lʌstɹl̩	lustral
lʌstɚ	lustre
lʌsti	lusty
lut	lute
lʌgƷʊɹiənt	luxuriant
lʌgƷʊɹiəs	luxurious
lʌkʃɚi	luxury
laɪsiəm	lyceum
laɪ	lye
laɪɪŋ	lying
lɪmf	lymph
lɪmfætɪk	lymphatic
lɪnʧ	lynch
lɪŋks	lynx
laɪɹ	lyre
lɪɹək	lyric
ɛm	m
mɑ	ma
məkædm̩	macadam
məkæk	macaque
mækɚoʊni	macaroni
mækɚun	macaroon
məkɔ	macaw
meɪs	mace
mæsəɹeɪt	macerate
mæsəɹeɪʃən	maceration
məʃɛti	machete
məʧɪkəleɪʃən	machicolation
mækəneɪt	machinate
mækəneɪʃən	machination
məʃin	machine
məʃinɚi	machinery
mækɚl̩	mackerel
mækənɔ	mackinaw
mækəntɑʃ	mackintosh
mækɹəkɑzm̩	macrocosm
meɪkɹɑn	macron
mækɹoʊskɑpɪk	macroscopic
mæd	mad
mædm̩	madam
mədæm	madame
mædkæp	madcap
mædn̩	madden
mædɚ	madder
mædɪŋ	madding
meɪd	made
mædəmwəzɛl	mademoiselle
mædhaʊs	madhouse
mædɹəs	madras
mædɹɪgl̩	madrigal
meɪlstɹəm	maelstrom
minæd	maenad
maɪstɹoʊ	maestro
mægəzin	magazine
mægdl̩ən	magdalen
məʤɛntə	magenta
mægət	maggot
mæʤaɪ	magi
mæʤɪk	magic
məʤɪʃən	magician
mæʤəstɪɹil̩	magisterial
mæʤəstɹl̩	magistral
mæʤəstɹeɪt	magistrate
mægnənɪməti	magnanimity
mægnænəməs	magnanimous
mægnænəməsli	magnanimously
mægneɪt	magnate
mægniʃə	magnesia
mægnət	magnet
mægnɛtɪk	magnetic
mægnətɪzm̩	magnetism
mægnətəzeɪʃən	magnetization
mægnətaɪz	magnetize
mægnitoʊ	magneto
mægnəfəkeɪʃən	magnification
mægnɪfəsənt	magnificent
mægnɪfɪkoʊ	magnifico
mægnəfaɪɚ	magnifier
mægnəfaɪ	magnify
mægnɪləkwənt	magniloquent
mægnətud	magnitude
mægnoʊljə	magnolia
mægpaɪ	magpie
mɑhəɹɑʤə	maharaja
mɑhəɹɑni	maharanee
məhɑtmə	mahatma
məhɑgəni	mahogany
məhaʊt	mahout
meɪd	maid
meɪdsɝvənt	maidservant
meɪl	mail
meɪld	mailed
meɪm	maim
meɪn	main
meɪnseɪl	mainsail
meɪnteɪn	maintain
meɪntənəns	maintenance
meɪzn̩ɛt	maisonette
meɪz	maize
məʤɛstɪk	majestic
mæʤəsti	majesty
məʤɑlɪkə	majolica
meɪʤɚ	major
meɪʤɚdoʊmoʊ	majordomo
məʤɔɹəti	majority
mæʤəskjul	majuscule
meɪk	make
mælədæptəd	maladapted
mæləʤʌstəd	maladjusted
mæləʤʌstmənt	maladjustment
mælədmɪnəstɚ	maladminister
mælədɹɔɪt	maladroit
mælədi	malady
mæleɪz	malaise
mæləmjut	malamute
mæləpɝt	malapert
mæləpɹɑpɪzm̩	malapropism
mælæpɹəpoʊ	malapropos
məlɛɹiə	malaria
mælkəntɛnt	malcontent
meɪl	male
mælədɪkʃən	malediction
mæləfækʃən	malefaction
mæləfæktɚ	malefactor
məlɛfɪk	malefic
məlɛfəsənt	maleficent
məlɛvl̩ənt	malevolent
mælfizn̩s	malfeasance
mælfɔɹmeɪʃən	malformation
mælfɔɹmd	malformed
mælfʌŋkʃən	malfunction
mæləs	malice
məlɪʃəs	malicious
məlaɪn	malign
məlɪgnənt	malignant
məlɪŋgɚ	malinger
mæləsən	malison
mɔl	mall
mælɚd	mallard
mæliəbɪləti	malleability
mæliəbl̩	malleable
mælət	mallet
mæloʊ	mallow
mɑmzi	malmsey
mælnɝɪʃt	malnourished
mælnutɹɪʃən	malnutrition
mæləkluƷən	malocclusion
mæloʊdəɹəs	malodorous
mɔlt	malt
mæltɹit	maltreat
mɑmə	mama
mɑmboʊ	mambo
mæml̩	mammal
məmeɪliən	mammalian
mæmɚi	mammary
mæmən	mammon
mæməθ	mammoth
mæn	man
mænɪkl̩	manacle
mænɪʤ	manage
mænɪʤəbɪləti	manageability
mænɪʤəbl̩	manageable
mænɪʤmənt	management
mænɪʤɚ	manager
mænəʤɪɹil̩	managerial
mənjɑnə	manana
mænsəpl̩	manciple
mændeɪməs	mandamus
mændɚən	mandarin
mændeɪt	mandate
mændətoɹi	mandatory
mændəbl̩	mandible
mændəlɪn	mandolin
mændɹægəɹə	mandragora
mændɹeɪk	mandrake
meɪn	mane
mænɛƷ	manege
mɑneɪs	manes
mənuvɚ	maneuver
mænfl̩	manful
mæŋgəniz	manganese
meɪnʤ	mange
meɪnʤɚ	manger
mæŋgl̩	mangle
mæŋgoʊ	mango
mæŋgɹoʊv	mangrove
meɪnʤi	mangy
mænhændl̩	manhandle
mænhætn̩	manhattan
mænhoʊl	manhole
mænhʊd	manhood
mænhʌnt	manhunt
meɪniə	mania
meɪniæk	maniac
mənaɪəkl̩	maniacal
mænəkjʊɹ	manicure
mænəfɛst	manifest
mænəfəsteɪʃən	manifestation
mænəfɛstoʊ	manifesto
mænəfoʊld	manifold
mənɪpjʊleɪt	manipulate
mənɪpjʊleɪʃən	manipulation
mænkaɪnd	mankind
mænlaɪk	manlike
mænli	manly
mænə	manna
mænd	manned
mænɪkən	mannequin
mænɚ	manner
mænɪkən	mannikin
mænɪʃ	mannish
mənuvɚ	manoeuvre
mænɚ	manor
mənoɹil̩	manorial
mænsɑɹd	mansard
mæns	manse
mænsɝvənt	manservant
mænʧən	mansion
mænslɔtɚ	manslaughter
mænswɪtud	mansuetude
mæntə	manta
mæntoʊ	manteau
mæntl̩	mantel
mæntlət	mantelet
mæntl̩pis	mantelpiece
mæntijə	mantilla
mæntəs	mantis
mæntl̩	mantle
mænjul̩	manual
mænjʊfæktəɹi	manufactory
mænjufækʧɚ	manufacture
mænjʊmɪt	manumit
mənʊɹ	manure
mænjuskɹɪpt	manuscript
mɛni	many
mɛnifoʊld	manyfold
mæp	map
meɪpl̩	maple
mɑɹ	mar
mæɹəskinoʊ	maraschino
mæɹəθɑn	marathon
mɚɔd	maraud
mɑɹbl̩	marble
mɑɹsɛl	marcel
mɑɹʧ	march
mɑɹʃənəs	marchioness
mæɹ	mare
mɑɹʤɚən	margarine
mɑɹʤ	marge
mɑɹʤənt	margent
mɑɹʤən	margin
mɑɹʤəneɪliə	marginalia
mɑɹgɹeɪv	margrave
mæɹəgoʊld	marigold
mæɹəwɑnə	marijuana
mɚinə	marina
mæɹəneɪt	marinate
mɚin	marine
mæɹənɚ	mariner
mæɹiənɛt	marionette
mæɹətl̩	marital
mæɹətaɪm	maritime
mɑɹʤɚəm	marjoram
mɑɹk	mark
mɑɹkdaʊn	markdown
mɑɹkt	marked
mɑɹkədli	markedly
mɑɹkət	market
mɑɹkɑ	markka
mɑɹksmən	marksman
mɑɹkʌp	markup
mɑɹl	marl
mɑɹlən	marlin
mɑɹlənspaɪk	marlinespike
mɑɹməleɪd	marmalade
mɑɹmoɹil̩	marmoreal
mɑɹməsɛt	marmoset
mɑɹmət	marmot
mɚun	maroon
mɑɹplɑt	marplot
mɑɹki	marquee
mɑɹkwəs	marquess
mɑɹkətɹi	marquetry
mɑɹkwəs	marquis
mɑɹkiz	marquise
mɑɹkwəzɛt	marquisette
mæɹɪʤ	marriage
mæɹoʊ	marrow
mæɹi	marry
mɑɹʃ	marsh
mɑɹʃl̩	marshal
mɑɹʃmɛloʊ	marshmallow
mɑɹsupil̩	marsupial
mɑɹt	mart
mɑɹtn̩	marten
mɑɹʃl̩	martial
mɑɹtn̩	martin
mɑɹtn̩ɛt	martinet
mɑɹtn̩geɪl	martingale
mɑɹtini	martini
mɑɹtɚ	martyr
mɑɹvl̩	marvel
mɑɹvl̩əs	marvellous
mɑɹtsəpɑn	marzipan
mæskæɹə	mascara
mæskɑt	mascot
mæskjʊlən	masculine
mæskjʊlɪnəti	masculinity
mæʃ	mash
mæsk	mask
mæsəkɪzm̩	masochism
meɪsn̩	mason
meɪsn̩ɹi	masonry
mæsk	masque
mæskɚeɪd	masquerade
mæs	mass
mæsɪkɚ	massacre
məsɑƷ	massage
mæsʊɹ	masseur
mæsuz	masseuse
mæsif	massif
mæsɪv	massive
mæst	mast
mæstɚ	master
mæstɚfl̩	masterful
mæstɚpis	masterpiece
mæstɚʃɪp	mastership
mæstɚi	mastery
mæsthɛd	masthead
mæstəkeɪt	masticate
mæstəkeɪʃən	mastication
mæstəf	mastiff
mæstədɑn	mastodon
mæstɔɪd	mastoid
mæstɚbeɪt	masturbate
mæstɚbeɪʃən	masturbation
mæt	mat
mætədɔɹ	matador
mæʧ	match
mæʧbʊk	matchbook
meɪt	mate
mətɪɹil̩	material
mətɪɹiəlɪstɪk	materialistic
mətɪɹil̩əzeɪʃən	materialization
mətɪɹiəlaɪz	materialize
mətɪɹiɛl	materiel
mətɝnl̩	maternal
mətɝnəti	maternity
mæθ	math
mæθm̩ətɪʃən	mathematician
mæθm̩ætəks	mathematics
mætn̩eɪ	matinee
mætn̩z	matins
meɪtɹiɑɹk	matriarch
meɪtɹiɑɹkl̩	matriarchal
meɪtɹiɑɹki	matriarchy
mətɹɪkjʊleɪt	matriculate
mətɹɪkjʊleɪʃən	matriculation
mætɹəmoʊnil̩	matrimonial
mætɹəmoʊni	matrimony
meɪtɹɪks	matrix
meɪtɹən	matron
mætɚ	matter
mætɪŋ	matting
mætək	mattock
mætɹəs	mattress
mæʧəɹeɪt	maturate
mæʧɚeɪʃən	maturation
məʧʊɹ	mature
mæʧutaɪnl̩	matutinal
mɑtsə	matzo
mɔdlən	maudlin
mɔl	maul
mɔndɚ	maunder
mɔsəliəm	mausoleum
moʊv	mauve
mævɚɪk	maverick
meɪvəs	mavis
mɔ	maw
mɔkɪʃ	mawkish
mæksɪlə	maxilla
mæksəm	maxim
mæksəml̩	maximal
mæksəməm	maximum
meɪ	may
mɑjə	maya
meɪæpl̩	mayapple
meɪbi	maybe
meɪflaʊɚ	mayflower
meɪhɛm	mayhem
meɪəneɪz	mayonnaise
meɪɚ	mayor
meɪpoʊl	maypole
meɪz	maze
məzɝkə	mazurka
meɪzi	mazy
mi	me
mid	mead
mɛdoʊ	meadow
mɛdoʊlɑɹk	meadowlark
mɛdoʊi	meadowy
migɚ	meagre
mil	meal
miltaɪm	mealtime
milimaʊðd	mealymouthed
min	mean
miændɚ	meander
minɪŋ	meaning
mɛnt	meant
mintaɪm	meantime
mizl̩z	measles
mizl̩i	measly
mɛƷɚəbl̩	measurable
mɛƷɚ	measure
mɛƷɚmənt	measurement
mit	meat
mɛkə	mecca
mɪkænɪk	mechanic
mɛkənɪzm̩	mechanism
mɛkənɪstɪk	mechanistic
mɛkənəzeɪʃən	mechanization
mɛkənaɪz	mechanize
mɛdl̩	medal
mədæljən	medallion
mɛdl̩	meddle
mɛdlɚ	meddler
mɛdl̩səm	meddlesome
midiivl̩	mediaeval
midil̩	medial
midiən	median
midieɪt	mediate
midieɪʃən	mediation
midieɪtɚ	mediator
mɛdɪk	medic
mɛdɪkəbl̩	medicable
mɪdɪkəmənt	medicament
mɛdəkeɪt	medicate
mɛdəkeɪʃən	medication
mədɪsn̩l̩	medicinal
mɛdəsɪn	medicine
mɛdɪkoʊ	medico
midioʊkɚ	mediocre
mɛdəteɪt	meditate
mɛdəteɪʃən	meditation
mɛdəteɪtɪv	meditative
midiəm	medium
mɛdli	medley
mədʌlə	medulla
mid	meed
mik	meek
mɪɹʃəm	meerschaum
mit	meet
mitɪŋ	meeting
mɛgəsaɪkl̩	megacycle
mɛgl̩oʊmeɪniə	megalomania
mɛgəlɑpl̩əs	megalopolis
mɛgəfoʊn	megaphone
mɛlənkoʊliə	melancholia
mɛlənkɑli	melancholy
mɛld	meld
meɪleɪ	melee
miljɚeɪt	meliorate
miljɚeɪʃʌn	melioration
miljəɹeɪtɪv	meliorative
mɛlɪfluəs	mellifluous
mɛloʊ	mellow
məloʊdiən	melodeon
məlɑdɪk	melodic
məloʊdiəs	melodious
mɛloʊdɹɑmə	melodrama
mɛloʊdɹəmætɪk	melodramatic
mɛlədi	melody
mɛlən	melon
mɛlt	melt
mɛmbɚ	member
mɛmbɹeɪn	membrane
mɪmɛntoʊ	memento
mɛmoʊ	memo
mɛmwɑɹ	memoir
mɛmɚəbiliə	memorabilia
mɛmɚəbl̩	memorable
mɛmɚændəm	memorandum
məmoɹil̩	memorial
mɛmɚaɪz	memorize
mɛmɚi	memory
mɛn	men
mɛnəs	menace
mənɑƷ	menage
mənæʤɚi	menagerie
mɛnd	mend
mɛndeɪʃəs	mendacious
mɛndɪkənt	mendicant
mɛnfoʊk	menfolk
minil̩	menial
mɛnənʤaɪtəs	meningitis
mɛnəpɔz	menopause
mɛnsiz	menses
mɛnstɹʊl̩	menstrual
mɛnstɹʊeɪt	menstruate
mɛnstɹʊeɪʃən	menstruation
mɛnsəɹəbl̩	mensurable
mɛnsəɹeɪʃən	mensuration
mɛntl̩	mental
mɛntæləti	mentality
mɛnθɔl	menthol
mɛnʧən	mention
mɛntɔɹ	mentor
mɛnju	menu
miaʊ	meow
məfɪtɪk	mephitic
mɝkəntil	mercantile
mɝsn̩ɛɹəli	mercenarily
mɝsn̩ɛɹinəs	mercenariness
mɝsn̩ɛɹi	mercenary
mɝsɚ	mercer
mɝʧəndaɪz	merchandise
mɝʧənt	merchant
mɝkjʊɹil̩	mercurial
mɝkjɚi	mercury
mɝsi	mercy
mɪɹ	mere
mɛɹətɹɪʃəs	meretricious
mɝʤ	merge
mɝʤɚ	merger
mɚɪdiən	meridian
məɹæŋ	meringue
məɹinoʊ	merino
mɛɹət	merit
mɛɹətoɹiəs	meritorious
mɝmeɪd	mermaid
mɛɹɪmənt	merriment
mɛɹi	merry
meɪsə	mesa
meɪdɑm	mesdames
meɪdəmwəzɛl	mesdemoiselles
mɛʃ	mesh
mɛzmɛɹɪk	mesmeric
mɛzmɚɪzm̩	mesmerism
mɛzmɚaɪz	mesmerize
məskit	mesquite
mɛs	mess
mɛsɪʤ	message
meɪseɪnjɝz	messeigneurs
mɛsn̩ʤɚ	messenger
məsaɪə	messiah
mɛsiænɪk	messianic
mɛsmeɪt	messmate
mɛstizoʊ	mestizo
mɛt	met
mɛtəbɑlɪk	metabolic
mətæbəlɪzm̩	metabolism
mətæbəlaɪz	metabolize
mɛtl̩	metal
mətælɪk	metallic
mɛtəlɪfəɹəs	metalliferous
mɛtəlɔɪd	metalloid
mɛtəlɝʤɪkl̩	metallurgical
mɛtəlɝʤəst	metallurgist
mɛtəlɝʤi	metallurgy
mɛtl̩wæɹ	metalware
mɛtəmɔɹfəsəs	metamorphosis
mɛtəfɔɹ	metaphor
mɛtəfɔɹɪkl̩	metaphorical
mɛtəfɪzɪks	metaphysics
mətæstəsəs	metastasis
mɛtəstætɪk	metastatic
mit	mete
mətɛmsɪkoʊsəs	metempsychosis
mitiɚ	meteor
mitiɔɹɪk	meteoric
mitiɚaɪt	meteorite
mitiɚɑləʤi	meteorology
mitɚ	meter
mɛθeɪn	methane
mɛθəd	method
məθɑdɪkl̩	methodical
mɛθədəst	methodist
mɛθədɑləʤi	methodology
mətɪkjʊləs	meticulous
meɪtjeɪ	metier
mitɚ	metre
mɛtɹɪk	metric
mɛtɹoʊ	metro
mɛtɹənoʊm	metronome
mətɹɑpl̩əs	metropolis
mɛtɹəpɑlətn̩	metropolitan
mɛtl̩	mettle
mju	mew
mjuz	mews
mɛzn̩in	mezzanine
maɪæzmə	miasma
maɪkə	mica
maɪs	mice
maɪkɹoʊb	microbe
maɪkɹoʊbil̩	microbial
maɪkɹoʊkɑpi	microcopy
maɪkɹəkɑzm̩	microcosm
maɪkɹɑmətɚ	micrometer
maɪkɹɑn	micron
maɪkɹoʊɔɹgənɪzm̩	microorganism
maɪkɹəfoʊn	microphone
maɪkɹəskɑpɪk	microscopic
maɪkɹɑskəpi	microscopy
mɪd	mid
mɪdeɪ	midday
mɪdn̩	midden
mɪdl̩	middle
mɪdl̩mæn	middleman
mɪdl̩weɪt	middleweight
mɪdlɪŋ	middling
mɪdi	middy
mɪʤ	midge
mɪʤət	midget
mɪdlənd	midland
mɪdst	midst
mɪdstɹim	midstream
mɪdsʌmɚ	midsummer
mɪdwik	midweek
min	mien
mɪf	miff
maɪt	might
maɪti	mighty
mɪnjənɛt	mignonette
maɪgɹeɪn	migraine
maɪgɹənt	migrant
maɪgɹeɪʃən	migration
maɪgɹətoɹi	migratory
məkɑdoʊ	mikado
maɪk	mike
mɪl	mil
mɪlk	milch
maɪld	mild
mɪldu	mildew
maɪl	mile
maɪlɪʤ	mileage
maɪlpoʊst	milepost
milju	milieu
mɪlətənt	militant
mɪlətɛɹəli	militarily
mɪlətɚɪzm̩	militarism
mɪlətɚɪstɪk	militaristic
mɪlətɚaɪz	militarize
mɪlətɛɹi	military
mɪləteɪt	militate
məlɪʃə	militia
mɪlk	milk
mɪlkmeɪd	milkmaid
mɪlksɑp	milksop
mɪl	mill
mɪldæm	milldam
məlɛniəm	millennium
mɪlət	millet
mɪliɑɹd	milliard
miljɛm	millieme
mɪləgɹæm	milligram
mɪləmitɚ	millimeter
mɪlənɚ	milliner
mɪlɪŋ	milling
mɪliən	million
mɪljənæɹ	millionaire
mɪlpɑnd	millpond
mɪlɹeɪs	millrace
maɪm	mime
mɪmiəgɹæf	mimeograph
məmɛtɪk	mimetic
mɪmɪk	mimic
məmoʊsə	mimosa
mɪnəɹɛt	minaret
mɪnətoɹi	minatory
mɪns	mince
mɪnsmit	mincemeat
maɪnd	mind
maɪn	mine
maɪnleɪɚ	minelayer
maɪnɚ	miner
mɪnɚl̩	mineral
mɪnɚɑləʤi	mineralogy
mɪnəstɹoʊni	minestrone
maɪnswipɚ	minesweeper
mɪŋgl̩	mingle
mɪniəʧʊɹ	miniature
mɪnəml̩	minimal
mɪnəmaɪz	minimize
mɪnəməm	minimum
mɪnjən	minion
mɪnəskjul	miniscule
mɪnəstɚ	minister
mɪnəstɪɹil̩	ministerial
mɪnəstɹənt	ministrant
mɪnəstɹeɪʃən	ministration
mɪnəstɹi	ministry
mɪŋk	mink
mɪnɪsɪŋɚ	minnesinger
mɪnoʊ	minnow
maɪnɚ	minor
maɪnɔɹəti	minority
mɪnstɚ	minster
mɪnstɹl̩	minstrel
mɪnt	mint
mɪnjʊɛnd	minuend
mɪnjuɛt	minuet
maɪnəs	minus
mɪnəskjul	minuscule
mɪnət	minute
mɪnətmæn	minuteman
mənuʃə	minutia
mɪŋks	minx
mɪɹəkl̩	miracle
mɚækjʊləs	miraculous
mɚɑƷ	mirage
maɪɹ	mire
mɪɹɚ	mirror
mɝθ	mirth
mɪsədvɛnʧɚ	misadventure
mɪsn̩θɹoʊp	misanthrope
mɪsn̩θɹɑpɪk	misanthropic
mɪsænθɹəpi	misanthropy
mɪsæpləkeɪʃən	misapplication
mɪsəplaɪ	misapply
mɪsæpɹɪhɛnd	misapprehend
mɪsəpɹoʊpɹieɪt	misappropriate
mɪsbɪgɑtn̩	misbegotten
mɪsbɪheɪv	misbehave
mɪsbəlivɚ	misbeliever
mɪskælkjʊleɪt	miscalculate
mɪskælkjʊleɪʃən	miscalculation
mɪskɔl	miscall
mɪskæɹi	miscarry
mɪsɛʤəneɪʃən	miscegenation
mɪsəleɪniəs	miscellaneous
mɪsəleɪni	miscellany
mɪsʧæns	mischance
mɪsʧəf	mischief
mɪsʧəvəs	mischievous
mɪsəbl̩	miscible
mɪskənsiv	misconceive
mɪskɑndʌkt	misconduct
mɪskənstɹu	misconstrue
mɪskaʊnt	miscount
mɪskɹiənt	miscreant
mɪskju	miscue
mɪsdəminɚ	misdemeanor
mɪsdɚɛkt	misdirect
mɪsduɪŋ	misdoing
maɪzɚ	miser
mɪzɚəbl̩	miserable
mɪzɚi	misery
mɪsfizn̩s	misfeasance
mɪsfaɪl	misfile
mɪsfɔɹʧən	misfortune
mɪsgaɪdn̩s	misguidance
mɪshæp	mishap
mɪʃmæʃ	mishmash
mɪsn̩fɔɹm	misinform
mɪsɪnfɚmeɪʃən	misinformation
mɪsn̩tɝpɹət	misinterpret
mɪsʤʌʤ	misjudge
mɪsleɪ	mislay
mɪslaɪk	mislike
mɪsnoʊmɚ	misnomer
məsɑʤənəst	misogynist
mɪspɹɪnt	misprint
mɪspɹənaʊns	mispronounce
mɪskwoʊteɪʃən	misquotation
mɪskwoʊt	misquote
mɪsɹɛpɹɪzɛnt	misrepresent
mɪsɹul	misrule
mɪs	miss
mɪsl̩	missal
mɪsɛnd	missend
mɪsʃeɪp	misshape
mɪsl̩	missile
mɪsɪŋ	missing
mɪʃən	mission
mɪsɪv	missive
mɪspɛl	misspell
mɪst	mist
məsteɪkəbl̩	mistakable
məsteɪk	mistake
mɪstɚ	mister
mɪsl̩toʊ	mistletoe
mɪstɹl̩	mistral
mɪstɹit	mistreat
mɪstɹəs	mistress
mɪstɹaɪl	mistrial
mɪsti	misty
mɪsʌndɚstænd	misunderstand
mɪʃuz	misuse
maɪt	mite
mɪtəgeɪt	mitigate
mɪtəgeɪʃən	mitigation
mɪtəgeɪtɪv	mitigative
maɪtɚ	mitre
mɪt	mitt
mɪtn̩	mitten
mɪks	mix
mɪksʧɚ	mixture
mɪzn̩	mizen
nɪmɑnɪk	mnemonic
moʊn	moan
moʊt	moat
mɑb	mob
moʊbl̩	mobile
moʊbl̩əzeɪʃən	mobilization
moʊbəlaɪz	mobilize
moʊbəlaɪzɚ	mobilizer
mɑbstɚ	mobster
mɑkəsən	moccasin
mɑk	mock
moʊdl̩	modal
moʊd	mode
mɑdl̩	model
mɑdɚeɪt	moderate
mɑdɚeɪʃən	moderation
mɑdɚeɪtɚ	moderator
mɑdɚn	modern
mɑdɚnɪzm̩	modernism
mədɝnəti	modernity
mɑdɚnəzeɪʃən	modernization
mɑdɚnaɪzɚ	modernizer
mɑdɚnli	modernly
mɑdəst	modest
mɑdɪkəm	modicum
mɑdəfəkeɪʃən	modification
mɑdəfaɪɚ	modifier
mɑdəfaɪ	modify
moʊdɪʃ	modish
moʊdist	modiste
mɑʤʊlɚ	modular
mɑʤəleɪt	modulate
mɑʤəleɪʃən	modulation
mɑʤəleɪtɚ	modulator
mɑʤul	module
moʊgl̩	mogul
moʊhæɹ	mohair
mɔɪəti	moiety
mɔɪl	moil
mwɑɹeɪ	moire
mɔɪst	moist
mɔɪsn̩	moisten
